replicate,K_W_per_K,UA_W_per_K,SSE,success
308,27847.05051210765,1803.4979991122848,1.5638551585135576,True
309,28167.175858902385,1802.6825919243809,1.1803178729258166,True
310,27965.86240243308,1800.1551829841897,1.0426965292561983,True
311,27860.03035909787,1802.514682658861,1.051609465461424,True
312,28152.963871894135,1798.238292955908,0.8592797629111605,True
313,28075.065183353683,1792.6481352444075,1.729007310616646,True
314,27966.365534827677,1799.7000146216574,1.3894868211491014,True
315,27834.23528899875,1801.1986676058202,1.3828663602776974,True
316,27742.53559588902,1801.1308588834686,1.4552153331022213,True
317,27749.165977525103,1801.3379606711635,1.1255373152961996,True
318,28292.758834972523,1795.9749819299768,1.3771446207863478,True
319,27856.92363124215,1797.755758299808,0.9957984119572577,True
320,28263.10523634005,1800.4837194056804,0.8815071583092808,True
321,27762.468371783067,1799.8377122649415,1.1824217337928973,True
322,28025.16354783008,1798.6075921665333,1.2501810516547998,True
323,28212.527045130017,1799.034527919886,1.2331467950136157,True
324,28127.918694500215,1798.3891270208155,1.0631124672999688,True
325,28213.007261316543,1795.2707711577077,1.743525987365325,True
326,27655.374045319037,1793.7405283029375,1.1760440200224793,True
327,28194.507324827013,1796.5856997186247,1.1013264163657563,True
328,27825.952082430333,1799.324713874633,1.112993041353356,True
329,27765.325190316766,1798.9918486090567,1.6605657692724662,True
330,28147.323053271983,1796.5510330493637,1.0502238239743942,True
331,27744.244485302752,1803.9223096454198,0.9946637157972388,True
332,28166.436348455325,1797.9322670758363,1.8653632201260208,True
333,27654.72494076218,1798.3629769541242,1.0058060162463518,True
334,28044.708681798635,1797.9329418246152,1.109269215976639,True
335,27800.29472209321,1800.1876763583853,1.0754262138825534,True
336,27768.07776551225,1797.5836821592684,1.2796750546283922,True
337,28212.931290027296,1801.1629745792939,0.9360535111087616,True
338,27664.42739861092,1801.6769316399973,1.642571332726951,True
339,27869.33236626636,1799.9105400350486,0.9105833069317142,True
340,27757.399001030437,1801.1253035821737,1.020509139239771,True
341,27599.23180039038,1797.2978352750513,0.9703741429722116,True
342,27982.371601756928,1800.006973968983,1.0702377370913325,True
343,27904.141307304384,1795.312988712224,0.9599107101034396,True
344,28118.028742401708,1794.1811340020786,1.5557389545267437,True
345,27982.31592373718,1796.7475770181381,1.0934104894345749,True
346,28262.80342844739,1797.8673229449378,1.697318908981835,True
347,27844.580470646404,1798.2162818214886,1.276017653328704,True
348,27788.411155300768,1794.9329402785563,1.6572104474726508,True
349,28190.233823018454,1795.0115354242769,1.318404758704889,True
350,27848.326412843595,1798.6830575150402,1.390684309624329,True
351,27592.113997155386,1801.3192191741487,1.20460029460295,True
352,28058.313316378524,1796.068793065543,1.1608556585741638,True
353,28186.264094705664,1800.483004534772,0.8345454992676318,True
354,27583.10691087077,1796.6217423794715,1.435857335010755,True
355,27850.388866383604,1796.7808649727394,1.3203713878660261,True
356,27844.73403467293,1800.9535723412437,1.1098394421452378,True
357,28062.57592435646,1799.7515921077622,1.5910644782105539,True
358,28322.946906312187,1795.5228490347326,1.20019713920225,True
359,28229.684530293773,1795.3653372078709,0.8738134737928019,True
360,27950.375018011702,1793.8189436260002,1.0754822724948805,True
361,28314.56829187438,1799.571875917504,0.8685378894480003,True
362,27777.37705500352,1794.2080881963802,1.0789102784432578,True
363,27912.931647387533,1794.842924441604,0.9704002017964024,True
364,28223.634952158285,1799.7879259922047,1.0458439660792525,True
365,27963.66655096368,1795.8297778902283,0.8497333772638835,True
366,28093.36032386291,1797.7528032753153,0.9784186737089848,True
367,27805.897144291837,1796.6770893228309,1.1315708160166873,True
