time_s,T1_C,T2_C,T3_C,T4_C,T5_C,delta_T12_C,delta_T23_C,delta_T34_C,delta_T45_C,power_MW,cumulative_heat_GJ
85.50000000,563.73436123,553.33061804,517.58466716,429.01005677,332.21903953,10.40374319,35.74595088,88.57461039,96.79101723,0.00000000,0.00000000
86.00000000,563.72693314,553.32083707,517.57073409,429.00441891,332.23174056,10.40609607,35.75010298,88.56631518,96.77267835,0.00000000,0.00000000
86.50000000,563.71950475,553.31105592,517.55680323,428.99878277,332.24443842,10.40844883,35.75425269,88.55802046,96.75434434,0.00000000,0.00000000
87.00000000,563.71207604,553.30127457,517.54287456,428.99314834,332.25713313,10.41080147,35.75840001,88.54972623,96.73601521,0.00000000,0.00000000
87.50000000,563.70464703,553.29149303,517.52894810,428.98751562,332.26982468,10.41315400,35.76254493,88.54143247,96.71769094,0.00000000,0.00000000
88.00000000,563.69721771,553.28171130,517.51502383,428.98188462,332.28251308,10.41550641,35.76668747,88.53313921,96.69937154,0.00000000,0.00000000
88.50000000,563.68978808,553.27192937,517.50110176,428.97625533,332.29519832,10.41785870,35.77082762,88.52484643,96.68105702,0.00000000,0.00000000
89.00000000,563.68235813,553.26214726,517.48718189,428.97062776,332.30788040,10.42021087,35.77496537,88.51655413,96.66274735,0.00000000,0.00000000
89.50000000,563.67492788,553.25236496,517.47326421,428.96500189,332.32055934,10.42256293,35.77910074,88.50826232,96.64444255,0.00000000,0.00000000
90.00000000,563.66749733,553.24258246,517.45934873,428.95937774,332.33323512,10.42491486,35.78323373,88.49997100,96.62614262,0.00000000,0.00000000
90.50000000,563.66006646,553.23279978,517.44543545,428.95375529,332.34590775,10.42726668,35.78736433,88.49168016,96.60784754,0.00000000,0.00000000
91.00000000,563.65263528,553.22301690,517.43152436,428.94813455,332.35857723,10.42961838,35.79149254,88.48338981,96.58955733,0.00000000,0.00000000
91.50000000,563.64520379,553.21323384,517.41761547,428.94251553,332.37124356,10.43196995,35.79561837,88.47509994,96.57127197,0.00000000,0.00000000
