time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
750,12.0,11.94852063887679,29.470711401471284,560.3306800922064,542.6118983456228,494.036884272417,404.4673929138706,321.2312387661726
760,12.0,11.945039797969288,29.470711401471284,560.2521594194442,542.420767852981,493.6918544235357,404.156623106597,321.12747163245257
770,12.0,11.941539443914376,29.470711401471284,560.1731975955411,542.2290590795403,493.34699439360134,403.84666033488116,321.0240491835831
780,12.0,11.938019553833696,29.470711401471284,560.0937940961135,542.0367749934919,493.0023065213439,403.53750264845814,320.9209702285031
790,12.0,11.934480105452526,29.470711401471284,560.0139484104668,541.8439185597917,492.6577931288067,403.2291481009381,320.81823358043886
800,12.0,11.930921077096878,29.470711401471284,559.9336600415285,541.6504927401113,492.31345652143,402.9215947498037,320.7158380568879
810,12.0,11.927342447690522,29.470711401471284,559.8529285057817,541.456500492789,491.96929898813386,402.6148406564073,320.613782479603
820,12.0,11.923744196752068,29.470711401471284,559.771753333199,541.2619447727824,491.625322801401,402.30888388596827,320.51206567457626
830,12.0,11.920126304392028,29.470711401471284,559.6901340671752,541.0668285316202,491.2815302173592,402.0037225075704,320.4106864720233
840,12.0,11.916488751309874,29.470711401471284,559.608070264462,540.8711547173557,490.93792347586316,401.69935459415876,320.30964370636724
850,12.0,11.912831518791123,29.470711401471284,559.5255614951006,540.6749262745201,490.59450480057615,401.3957782225373,320.2089362162231
860,12.0,11.909154588704405,29.470711401471284,559.4426073423568,540.4781461440765,490.2512763990513,401.0929914733656,320.108562844382
870,12.0,11.90545794349855,29.470711401471284,559.3592074026537,540.2808172633743,489.9082404628125,400.7909924311563,320.00852243779553
880,12.0,11.901741566199671,29.470711401471284,559.2753612855065,540.0829425661043,489.5653991674351,400.48977918427204,319.9088138475603
890,12.0,11.898005440408243,29.470711401471284,559.1910686134561,539.884524982254,489.22275467262585,400.18934982492243,319.8094359289022
900,12.0,11.998086514932863,29.728026194046198,559.1063290220034,539.6855674380637,488.88030912230295,399.8897024491612,319.7103875411611
910,12.0,11.994249397688689,29.728026194046198,559.0205073227872,539.4844175737763,488.53517482131656,399.588236665496,319.6107055315096
920,12.0,11.990391967665053,29.728026194046198,558.9342302660291,539.2827243226766,488.19024657090773,399.2875619883086,319.51135726459336
930,12.0,11.986514210238404,29.728026194046198,558.8474975172273,539.0804906718166,487.8455265238183,398.9876764829069,319.4123415783413
940,12.0,11.982616111368788,29.728026194046198,558.7603087550018,538.8777196042196,487.5010168168045,398.6885782185102,319.31365731489655
950,12.0,11.9786976575968,29.728026194046198,558.6726636710256,538.6744140988359,487.15671957071805,398.39026526824597,319.2153033206004
960,12.0,11.974758836040571,29.728026194046198,558.5845619699573,538.4705771305004,486.812636890587,398.092735709147,319.1172784459765
970,12.0,11.970799634392753,29.728026194046198,558.4960033693733,538.2662116698896,486.4687708656961,397.79598762214846,319.019581545715
980,12.0,11.966820040917476,29.728026194046198,558.4069875996993,538.0613206834797,486.1251235696671,397.5000190920847,318.92221147865683
990,12.0,11.962820044447344,29.728026194046198,558.3175144041434,537.8559071335052,485.78169706053825,397.2048282076863,318.825167107778
1000,12.0,11.958799634380439,29.728026194046198,558.2275835386282,537.649973977917,485.43849338084385,396.91041306157706,318.72844730017414
1010,12.0,11.954758800677286,29.728026194046198,558.1371947717236,537.4435241703429,485.09551455769315,396.6167717502705,318.6320509270448
1020,12.0,11.950697533857882,29.728026194046198,558.046347884579,537.2365606600462,484.7527626028492,396.32390237416723,318.5359768636781
1030,12.0,11.946615824998677,29.728026194046198,557.9550426708565,537.0290863918867,484.4102395128071,396.03180303755124,318.44022398943514
1040,12.0,11.942513665729598,29.728026194046198,557.8632789366637,536.8211043062814,484.0679472688719,395.740471848587,318.34479118773476
1050,12.0,11.938391048231077,29.728026194046198,557.7710565004866,536.6126173391655,483.7258878372363,395.44990691931605,318.2496773460382
1060,12.0,11.93424796523102,29.728026194046198,557.6783751931226,536.4036284219538,483.38406316905827,395.1601063656538,318.1548813558339
1070,12.0,11.930084410001902,29.728026194046198,557.5852348576141,536.1941404815034,483.04247520053735,394.87106830738617,318.06040211262217
1080,12.0,11.925900376357731,29.728026194046198,557.4916353491813,535.9841564400757,482.70112585299194,394.58279086816617,317.9662385159003
1090,12.0,11.921695858651134,29.728026194046198,557.3975765351562,535.7736792152996,482.3600170329351,394.29527217551066,317.8723894691472
1100,12.0,11.917470851770352,29.728026194046198,557.3030582949158,535.5627117201349,482.0191506321508,394.00851036079683,317.77885387980876
1110,12.0,11.91322535113633,29.728026194046198,557.2080805198158,535.3512568628361,481.67852852776923,393.72250355925877,317.6856306592826
1120,12.0,11.908959352699744,29.728026194046198,557.1126431131247,535.1393175469168,481.3381525823424,393.43724990998396,317.59271872290327
1130,12.0,11.904672852938047,29.728026194046198,557.0167459899575,534.9268966711144,480.99802464391877,393.15274755590997,317.50011698992745
1140,12.0,11.900365848852573,29.728026194046198,556.9203890772097,534.7139971293551,480.6581465461181,392.8689946438207,317.4078243835192
1150,12.0,11.896038337965555,29.728026194046198,556.8235723134919,534.5006218107198,480.3185201082054,392.58598932434296,317.3158398307352
1160,12.0,11.891690318317233,29.728026194046198,556.7262956490636,534.2867735994098,479.9791471351653,392.3037297519428,317.22416226251
1170,12.0,11.887321788462915,29.728026194046198,556.6285590457676,534.0724553747132,479.6400294177752,392.022214084922,317.13279061364176
1180,12.0,11.88293274747008,29.728026194046198,556.5303624769653,533.8576700109719,479.301168732679,391.7414404854143,317.04172382277727
1190,12.0,11.878523194915449,29.728026194046198,556.4317059274706,533.6424203775491,478.9625668424596,391.4614071193818,316.95096083239775
1200,12.0,11.997736434853163,30.03763082768543,556.3325893934851,533.4267093387963,478.6242254957118,391.1821121566114,316.8605005888043
1210,12.0,11.993198735114841,30.03763082768543,556.2321126932477,533.2083926526093,478.28273052105396,390.9006557730233,316.7692955930429
1220,12.0,11.988639882673375,30.03763082768543,556.131166506558,532.9896107505341,477.941504255884,390.6199488011649,316.67839835926475
1230,12.0,11.98405987916545,30.03763082768543,556.0297508639536,532.7703665667204,477.60054846220277,390.3399893730345,316.5878078079463
1240,12.0,11.979458726747717,30.03763082768543,555.9278658075469,532.5506630299977,477.25986488776334,390.06077562454016,316.4975228635065
1250,12.0,11.974836428093786,30.03763082768543,555.8255113909572,532.3305030638429,476.91945526614546,389.78230569549646,316.4075424542914
1260,12.0,11.970192986391144,30.03763082768543,555.7226876792429,532.1098895863491,476.5793213168295,389.50457772962056,316.31786551255954
1270,12.0,11.965528405338151,30.03763082768543,555.6193947488345,531.8888255101946,476.23946474527025,389.2275898745286,316.228490974467
1280,12.0,11.960842689141028,30.03763082768543,555.5156326874674,531.6673137426116,475.8998872429701,388.95134028173186,316.13941778005244
1290,12.0,11.956135842510793,30.03763082768543,555.4114015941144,531.4453571853563,475.56059048755236,388.6758271066332,316.0506448732226
