R_m,H_m,V_m3,surface_m2,mass_kg,K_W_K,UA_top_W_K,energy_upper_MWh
2.1,7.25,100.44457111689965,123.37034350647117,180800.22801041938,907.7036153251339,105.55751316061705,14.3133513841582
2.1,7.375,102.17637406719103,125.01967964960582,183917.47332094386,892.3188082857248,106.61308829222322,14.560133304574723
2.1,7.5,103.9081770174824,126.66901579274047,187034.71863146836,877.4468281476294,107.6686634238294,14.806915224991247
2.1,7.625,105.63997996777378,128.31835193587509,190151.96394199278,863.0624539157011,108.72423855543556,15.053697145407764
2.1,7.75,107.37178291806515,129.96768807900975,193269.20925251726,849.1420917557704,109.77981368704175,15.300479065824284
2.1,7.875,109.10358586835653,131.61702422214438,196386.45456304177,835.6636458548851,110.83538881864791,15.547260986240806
2.1,8.0,110.8353888186479,133.266360365279,199503.69987356622,822.6064013884026,111.89096395025408,15.794042906657326
2.1,8.125,112.56719176893927,134.91569650841367,202620.94518409067,809.9509182901195,112.94653908186027,16.040824827073845
2.1,8.25,114.29899471923065,136.5650326515483,205738.19049461518,797.6789346796631,114.00211421346643,16.287606747490365
2.1,8.375,116.03079766952202,138.21436879468294,208855.43580513966,785.7732789381756,115.05768934507259,16.53438866790689
2.1,8.5,117.7626006198134,139.86370493781757,211972.68111566408,774.2177895420259,116.11326447667875,16.781170588323405
2.1,8.625,119.49440357010477,141.51304108095223,215089.92642618858,762.9972418675038,117.16883960828494,17.02795250873993
2.1,8.75,121.22620652039615,143.16237722408687,218207.17173671306,752.0972812693966,118.2244147398911,17.27473442915645
2.1,8.875,122.95800947068751,144.8117133672215,221324.4170472375,741.5043618148981,119.27998987149726,17.52151634957297
2.1,9.0,124.68981242097888,146.46104951035616,224441.662357762,731.2056901230245,120.33556500310345,17.76829826998949
2.1,9.125,126.42161537127026,148.1103856534908,227558.90766828647,721.1891738199694,121.39114013470962,18.015080190406014
2.1,9.25,128.15341832156165,149.75972179662543,230676.15297881095,711.4433741737536,122.44671526631578,18.261862110822534
2.1,9.375,129.885221271853,151.4090579397601,233793.39828933537,701.9574625181035,123.50229039792197,18.50864403123905
2.1,9.5,131.61702422214438,153.05839408289472,236910.64359985988,692.7211801165495,124.55786552952813,18.755425951655575
2.1,9.625,133.34882717243576,154.70773022602935,240027.88891038438,683.724801153997,125.61344066113429,19.0022078720721
2.1,9.75,135.08063012272711,156.357066369164,243145.1342209088,674.9590985750996,126.66901579274045,19.248989792488615
2.1,9.875,136.8124330730185,158.00640251229862,246262.37953143328,666.4153125171869,127.72459092434664,19.495771712905135
2.1,10.0,138.54423602330988,159.65573865543328,249379.62484195776,658.0851211107221,128.7801660559528,19.742553633321656
2.15,5.0,72.61006020609409,96.58826613461818,130698.10837096936,1379.5911439157876,89.69875344529578,10.346933579368407
2.15,5.125,74.42531171124645,98.27687218592271,133965.5610802436,1345.9425794300369,90.77946131813067,10.605606918852619
2.15,5.25,76.2405632163988,99.96547823722722,137233.01378951783,1313.8963275388455,91.86016919096555,10.864280258336828
2.15,5.375,78.05581472155114,101.65408428853172,140500.46649879206,1283.3405989914304,92.94087706380043,11.122953597821036
2.15,5.5,79.8710662267035,103.34269033983625,143767.9192080663,1254.1737671961707,94.02158493663532,11.38162693730525
2.15,5.625,81.68631773185585,105.03129639114076,147035.37191734053,1226.3032390362557,95.10229280947021,11.640300276789457
2.15,5.75,83.50156923700821,106.71990244244526,150302.82462661478,1199.6444729702503,96.1830006823051,11.89897361627367
2.15,5.875,85.31682074216056,108.40850849374979,153570.277335889,1174.1201224815215,97.26370855514,12.157646955757878
2.15,6.0,87.13207224731292,110.0971145450543,156837.73004516325,1149.6592865964897,98.34441642797489,12.416320295242091
2.15,6.125,88.94732375246527,111.7857205963588,160105.18275443747,1126.1968521761532,99.42512430080977,12.6749936347263
2.15,6.25,90.76257525761761,113.47432664766333,163372.6354637117,1103.6729151326301,100.50583217364465,12.93366697421051
2.15,6.375,92.57782676276997,115.16293269896784,166640.08817298594,1082.0322697378726,101.58654004647954,13.192340313694718
2.15,6.5,94.39307826792232,116.85153875027237,169907.5408822602,1061.2239568582982,102.66724791931443,13.451013653178931
2.15,6.625,96.20832977307468,118.54014480157687,173174.99359153444,1041.20086333267,103.74795579214933,13.709686992663142
2.15,6.75,98.02358127822703,120.22875085288138,176442.44630080866,1021.9193658635464,104.82866366498422,13.968360332147352
2.15,6.875,99.83883278337937,121.91735690418591,179709.89901008288,1003.3390137569365,105.90937153781911,14.227033671631562
2.15,7.0,101.65408428853173,123.60596295549041,182977.35171935713,985.422245654134,106.99007941065399,14.485707011115773
2.15,7.125,103.46933579368408,125.29456900679492,186244.80442863135,968.1341360812545,108.07078728348887,14.744380350599982
2.15,7.25,105.28458729883644,126.98317505809945,189512.25713790563,951.4421682177846,109.15149515632378,15.003053690084197
2.15,7.375,107.09983880398879,128.67178110940395,192779.70984717982,935.3160297734154,110.23220302915865,15.261727029568402
2.15,7.5,108.91509030914114,130.36038716070846,196047.16255645407,919.7274292771918,111.31291090199355,15.520400369052613
2.15,7.625,110.7303418142935,132.048993212013,199314.61526572827,904.649930436582,112.39361877482844,15.779073708536822
2.15,7.75,112.54559331944584,133.7375992633175,202582.06797500252,890.0588025263146,113.47432664766332,16.037747048021032
2.15,7.875,114.3608448245982,135.426205314622,205849.52068427677,875.9308850258969,114.55503452049821,16.296420387505247
2.15,8.0,116.17609632975055,137.11481136592653,209116.973393551,862.2444649473673,115.6357423933331,16.555093726989455
2.15,8.125,117.9913478349029,138.80341741723103,212384.4261028252,848.9791654866385,116.716450266168,16.813767066473662
2.15,8.25,119.80659934005526,140.49202346853554,215651.87881209946,836.115844797447,117.79715813900287,17.072440405957874
2.15,8.375,121.6218508452076,142.18062951984007,218919.33152137368,823.636503830321,118.87786601183777,17.33111374544208
2.15,8.5,123.43710235035996,143.86923557114457,222186.78423064793,811.5242023034045,119.95857388467266,17.589787084926293
2.15,8.625,125.25235385551231,145.5578416224491,225454.23693992215,799.7629819801667,121.03928175750755,17.8484604244105
2.15,8.75,127.06760536066466,147.2464476737536,228721.68964919637,788.3377965233072,122.11998963034243,18.107133763894716
2.15,8.875,128.88285686581702,148.9350537250581,231989.14235847065,777.2344472765001,123.20069750317732,18.365807103378927
2.15,9.0,130.69810837096938,150.62365977636264,235256.59506774484,766.4395243976599,124.28140537601222,18.624480442863135
2.15,9.125,132.5133598761217,152.31226582766715,238524.0477770191,755.9403528305686,125.36211324884711,18.883153782347346
2.15,9.25,134.32861138127407,154.00087187897165,241791.50048629334,745.7249426571825,126.44282112168199,19.141827121831557
2.15,9.375,136.14386288642643,155.68947793027618,245058.9531955676,735.7819434217535,127.52352899451688,19.40050046131577
2.15,9.5,137.95911439157877,157.3780839815807,248326.40590484178,726.1006020609409,128.60423686735177,19.659173800799977
2.15,9.625,139.77436589673113,159.0666900328852,251593.85861411603,716.6707241120974,129.68494474018667,19.917847140284188
2.15,9.75,141.5896174018835,160.7552960841897,254861.31132339028,707.4826379055321,130.76565261302153,20.176520479768396
2.15,9.875,143.40486890703585,162.44390213549423,258128.76403266453,698.5271614763482,131.84636048585645,20.435193819252607
2.15,10.0,145.22012041218818,164.13250818679873,261396.21674193873,689.7955719578938,132.92706835869132,20.693867158736815
2.2,5.0,76.02654221687301,99.52565526572465,136847.77599037142,1444.5043021205872,92.89061158134302,10.833782265904405
2.2,5.125,77.92720577229483,101.25353122519905,140268.97039013068,1409.2724898737438,93.99645219540662,11.104626822552012
2.2,5.25,79.82786932771666,102.98140718467343,143690.16478988997,1375.718382971988,95.10229280947024,11.375471379199624
2.2,5.375,81.72853288313848,104.70928314414783,147111.35918964926,1343.7249322051975,96.20813342353384,11.646315935847234
2.2,5.5,83.62919643856031,106.43715910362221,150532.55358940858,1313.1857292005338,97.31397403759745,11.917160492494846
2.2,5.625,85.52985999398213,108.16503506309658,153953.74798916784,1284.0038241071886,98.41981465166106,12.188005049142454
2.2,5.75,87.43052354940396,109.89291102257098,157374.94238892713,1256.0906974961629,99.52565526572467,12.458849605790064
2.2,5.875,89.33118710482579,111.62078698204536,160796.13678868642,1229.3653635068829,100.63149587978828,12.729694162437674
2.2,6.0,91.2318506602476,113.34866294151976,164217.33118844568,1203.7535851004893,101.73733649385187,13.000538719085284
2.2,6.125,93.13251421566943,115.07653890099414,167638.52558820497,1179.187185404561,102.8431771079155,13.271383275732893
2.2,6.25,95.03317777109126,116.80441486046851,171059.71998796426,1155.6034416964699,103.94901772197909,13.542227832380503
2.2,6.375,96.93384132651309,118.53229081994292,174480.91438772355,1132.9445506828135,105.0548583360427,13.813072389028115
2.2,6.5,98.8345048819349,120.26016677941729,177902.10878748284,1111.1571554773748,106.16069895010631,14.083916945675725
2.2,6.625,100.73516843735673,121.98804273889169,181323.30318724213,1090.191926128745,107.2665395641699,14.354761502323333
2.2,6.75,102.63583199277856,123.71591869836607,184744.49758700142,1070.0031867559906,108.37238017823353,14.625606058970945
2.2,6.875,104.53649554820039,125.44379465784047,188165.6919867607,1050.548583360427,109.47822079229714,14.896450615618555
2.2,7.0,106.43715910362221,127.17167061731485,191586.88638652,1031.788787228991,110.58406140636073,15.167295172266165
2.2,7.125,108.33782265904404,128.89954657678922,195008.08078627923,1013.6872295583069,111.68990202042434,15.438139728913773
2.2,7.25,110.23848621446587,130.62742253626362,198429.27518603855,996.2098635314395,112.79574263448797,15.708984285561383
2.2,7.375,112.13914976988768,132.355298495738,201850.46958579784,979.3249505902287,113.90158324855156,15.979828842208994
2.2,7.5,114.03981332530951,134.0831744552124,205271.66398555713,963.0028680803915,115.00742386261516,16.250673398856605
2.2,7.625,115.94047688073134,135.81105041468678,208692.85838531645,947.2159358167785,116.11326447667878,16.52151795550422
2.2,7.75,117.84114043615317,137.53892637416115,212114.05278507568,931.938259432637,117.21910509074237,16.792362512151826
2.2,7.875,119.74180399157498,139.26680233363555,215535.24718483497,917.1455886479919,118.324945704806,17.063207068799436
2.2,8.0,121.64246754699681,140.99467829310993,218956.44158459426,902.815188825367,119.4307863188696,17.334051625447046
2.2,8.125,123.54313110241864,142.72255425258433,222377.63598435355,888.9257243818998,120.53662693293319,17.604896182094656
2.2,8.25,125.44379465784046,144.4504302120587,225798.8303841128,875.457152800356,121.64246754699681,17.875740738742262
2.2,8.375,127.34445821326229,146.17830617153308,229220.02478387213,862.3906281316939,122.74830816106041,18.146585295389876
2.2,8.5,129.2451217686841,147.90618213100748,232641.21918363142,849.7084130121102,123.85414877512403,18.417429852037486
2.2,8.625,131.14578532410593,149.63405809048186,236062.41358339065,837.3937983307752,124.95998938918763,18.68827440868509
2.2,8.75,133.04644887952776,151.36193404995626,239483.60798314997,825.4310297831927,126.06583000325125,18.959118965332706
2.2,8.875,134.9471124349496,153.08981000943064,242904.80238290926,813.8052406313168,127.17167061731485,19.229963521980316
2.2,9.0,136.84777599037142,154.81768596890504,246325.99678266855,802.5023900669929,128.27751123137847,19.500808078627927
2.2,9.125,138.74843954579325,156.5455619283794,249747.19118242786,791.5092066414177,129.38335184544206,19.77165263527554
2.2,9.25,140.64910310121508,158.2734378878538,253168.3855821871,780.8131362813986,130.48919245950566,20.042497191923147
2.2,9.375,142.54976665663688,160.0013138473282,256589.5799819464,770.4022944643132,131.59503307356928,20.313341748570757
2.2,9.5,144.4504302120587,161.72918980680257,260010.77438170568,760.2654221687302,132.70087368763288,20.584186305218367
2.2,9.625,146.35109376748053,163.45706576627697,263431.96878146497,750.3918452574479,133.8067143016965,20.855030861865977
2.2,9.75,148.25175732290236,165.18494172575134,266853.16318122426,740.7714369849166,134.9125549157601,21.125875418513587
2.2,9.875,150.1524208783242,166.91281768522575,270274.35758098355,731.394583352196,136.01839552982372,21.396719975161197
2.2,10.0,152.05308443374602,168.64069364470012,273695.55198074284,722.2521510602936,137.12423614388732,21.66756453180881
2.25,5.0,79.52156404399163,102.49446032336701,143138.81527918493,1510.9097168358412,96.13273519984767,11.33182287626881
2.25,5.125,81.50960314509143,104.26160619101125,146717.28566116458,1474.05826032765,97.26370855514,11.61511844817553
2.25,5.25,83.49764224619122,106.02875205865553,150295.75604314418,1438.9616350817535,98.39468191043233,11.89841402008225
2.25,5.375,85.485681347291,107.79589792629977,153874.2264251238,1405.4974110100848,99.52565526572465,12.181709591988968
2.25,5.5,87.4737204483908,109.56304379394405,157452.69680710344,1373.554288032583,100.65662862101698,12.46500516389569
2.25,5.625,89.4617595494906,111.33018966158829,161031.16718908306,1343.0308594096366,101.7876019763093,12.74830073580241
2.25,5.75,91.44979865059038,113.09733552923254,164609.63757106272,1313.8345363789924,102.91857533160163,13.031596307709131
2.25,5.875,93.43783775169017,114.86448139687681,168188.10795304232,1285.8806100730565,104.04954868689396,13.31489187961585
