time_s,time_h,demand_MW,actual_MW,q_kg_s,pump_kW,T1_C,T2_C,T3_C,T4_C,T5_C
1570,0.4361111111111111,12.0,0.0,0.0,0.0,540.5381392068564,524.5703125326687,484.05755627363095,417.38793729092663,358.9476225123516
1580,0.4388888888888889,12.0,0.0,0.0,0.0,540.3761263963456,524.3834900110082,483.8741669798056,417.3319521713102,359.06922497551625
1590,0.44166666666666665,12.0,0.0,0.0,0.0,540.2140664266828,524.1968004566944,483.6912244051399,417.27614355101775,359.1902173541525
1600,0.4444444444444444,12.0,0.0,0.0,0.0,540.051959901518,524.0102442784803,483.508726533722,417.2205096967852,359.31060236405307
1610,0.44722222222222224,12.0,0.0,0.0,0.0,539.8898074237193,523.8238218777183,483.32667135897486,417.16504888939875,359.43038270581235
1620,0.45,12.0,0.0,0.0,0.0,539.7276095953519,523.6375336484382,483.1450568836151,417.1097594235803,359.5495610649255
1630,0.4527777777777778,12.0,0.0,0.0,0.0,539.5653670176566,523.4513799774246,482.96388111961136,417.0546396078739,359.66814011188734
1640,0.45555555555555555,12.0,0.0,0.0,0.0,539.4030802910294,523.2653612442939,482.7831420881432,416.9996877645334,359.78612250228997
1650,0.4583333333333333,12.0,0.0,0.0,0.0,539.2407500150002,523.07947782157,482.60283781956014,416.94490222941045,359.90351087692005
1660,0.46111111111111114,12.0,0.0,0.0,0.0,539.0783767882134,522.89373007476,482.4229663533405,416.8902813518441,360.02030786185526
1670,0.4638888888888889,12.0,0.0,0.0,0.0,538.9159612084076,522.7081183624285,482.24352573805083,416.835823494551,360.13651606856
1680,0.4666666666666667,12.0,0.0,0.0,0.0,538.7535038723961,522.5226430362716,482.06451403130546,416.78152703351634,360.25213809398053
1690,0.46944444444444444,12.0,0.0,0.0,0.0,538.5910053760479,522.3373044411901,481.88592929972594,416.7273903578863,360.36717652063925
1700,0.4722222222222222,12.0,0.0,0.0,0.0,538.4284663142682,522.152102915362,481.7077696189008,416.6734118698608,360.48163391672847
1710,0.475,12.0,0.0,0.0,0.0,538.2658872809807,521.9670387903143,481.5300330733454,416.6195899845874,360.5955128362034
1720,0.4777777777777778,12.0,0.0,0.0,0.0,538.103268869108,521.7821123909943,481.35271775646225,416.56592313005615,360.7088158188744
1730,0.48055555555555557,12.0,0.0,0.0,0.0,537.9406116705546,521.5973240358397,481.17582177050105,416.5124097469953,360.8215453904989
1740,0.48333333333333334,12.0,0.0,0.0,0.0,537.777916276189,521.4126740368489,480.999343226519,416.45904828876775,360.93370406287204
1750,0.4861111111111111,12.0,0.0,0.0,0.0,537.6151832758255,521.2281626996496,480.82328024434156,416.4058372212686,361.04529433391724
1760,0.4888888888888889,12.0,0.0,0.0,0.0,537.452413258208,521.0437903235677,480.64763095252306,416.35277502282327,361.1563186877759
1770,0.49166666666666664,12.0,0.0,0.0,0.0,537.2896068109926,520.859557201695,480.4723934883076,416.29986018408675,361.26677959489643
1780,0.49444444444444446,12.0,0.0,0.0,0.0,537.1267645207311,520.6754636209563,480.2975659975899,416.24709120794364,361.37667951212245
1790,0.49722222222222223,12.0,0.0,0.0,0.0,536.9638869728544,520.491509862176,480.1231466348768,416.1944666094087,361.48602088278085
1800,0.5,18.0,0.0,0.0,0.0,536.8009747516572,520.3076962001443,479.94913356324827,416.14198491552895,361.5948061367688
1810,0.5027777777777778,18.0,0.0,0.0,0.0,536.6380284402813,520.1240229036819,479.7755249543191,416.08964466528573,361.70303769064026
1820,0.5055555555555555,18.0,0.0,0.0,0.0,536.4750486207009,519.940490235705,479.6023189882006,416.0374444094983,361.8107179476918
1830,0.5083333333333333,18.0,0.0,0.0,0.0,536.3120358737067,519.7570984532899,479.429513853462,415.98538271072766,361.9178492980478
1840,0.5111111111111111,18.0,0.0,0.0,0.0,536.1489907788914,519.5738478077354,479.25710774709313,415.93345814318184,362.02443411874555
1850,0.5138888888888888,18.0,0.0,0.0,0.0,535.9859139146347,519.3907385446263,479.0850988744657,415.88166929262127,362.1304747738186
1860,0.5166666666666667,18.0,0.0,0.0,0.0,535.8228058580889,519.2077709038955,478.9134854492963,415.83001475626554,362.2359736143808
1870,0.5194444444444445,18.0,0.0,0.0,0.0,535.6596671851651,519.0249451198858,478.7422656936082,415.7784931427006,362.3409329787087
